from,tokenid,amount
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,353,169.0
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,354,190.0
0xB1e22281E1BC8Ab83Da1CB138e24aCB004B5a4ca,355,180.0
0x465E54669973c73bF36cF44DA42A5EA98618f2CA,356,145.0
0xB1e22281E1BC8Ab83Da1CB138e24aCB004B5a4ca,357,170.0
0x9Ac4Dd66896AdA97E5B13139D68577ce9fB217e0,358,200.0
0xCa59816e0D83aD19B6a30779CAC6ebbBb12baDCe,359,160.0
0x6e25DbdE7774e19b499806560A89330f9BD5656a,361,179.0
0x8D41f4EE72Fe9E79f8c424fE169f3EE11A733289,362,115.0
0x8D41f4EE72Fe9E79f8c424fE169f3EE11A733289,363,135.0
0x5Ed9e63Ea642DB16B3B6A58E3F867668178ac222,364,140.0
0x8D41f4EE72Fe9E79f8c424fE169f3EE11A733289,366,175.0
0x4e22846846e395A164Bab655De244E75c54B087b,367,198.0
0xaee394a8e28bE8b27D9a08e80c9A8aD6D72e52A6,368,111.0
0xdE0AEf70a7ae324045B7722C903aaaec2ac175F5,369,200.0
0xf2d2C0F3492Bbde32612e29315D555e692F9540F,371,130.0
0xf2d2C0F3492Bbde32612e29315D555e692F9540F,372,128.0
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,373,177.0
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,374,169.0
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,375,123.0
0x5e1262b4d322C5F3fC38a301f8441D15b9B88860,376,149.0
0xf2d2C0F3492Bbde32612e29315D555e692F9540F,377,480.0
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,378,125.0
0x7911670881A81F8410d06053d7B3c237cE77b9B4,379,135.0
0x837Dfd7d2522e9cDAc1b58C03C0B07c18d8d3DAc,381,140.0
0x837Dfd7d2522e9cDAc1b58C03C0B07c18d8d3DAc,382,200.0
0x94D1204641e5Ab135D0785C17dEDec1f121706bf,383,318.0
0x837Dfd7d2522e9cDAc1b58C03C0B07c18d8d3DAc,384,300.0
0xC9001B996a7e2659F6C74F5FAc588695816e0955,385,415.0
0x8b6EBcc80d06F8Ceeff615FAE15AC3D68B831D38,386,333.0
0x5B4d53a95388fD8ae824e8B141446c7E013c9b02,387,175.0
0x5B4d53a95388fD8ae824e8B141446c7E013c9b02,388,125.0
0x837Dfd7d2522e9cDAc1b58C03C0B07c18d8d3DAc,389,250.0
0x837Dfd7d2522e9cDAc1b58C03C0B07c18d8d3DAc,391,200.0
0xC9001B996a7e2659F6C74F5FAc588695816e0955,392,150.0
0xe0dDa4f11dA57F5b01D360072Ca1627Ea5bf93df,393,102.0
0x837Dfd7d2522e9cDAc1b58C03C0B07c18d8d3DAc,394,200.0
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,395,165.0
0xe0dDa4f11dA57F5b01D360072Ca1627Ea5bf93df,396,111.0
