from,tokenid,amount
0x43397A347105078cFA99196B06E3e3Dd1411d845,17,2300
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,18,2000
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,18,100
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,18,2100
0x43397A347105078cFA99196B06E3e3Dd1411d845,18,2400
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,19,420
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,19,500
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,19,690
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,19,690
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,19,703.8
0x2891F651ffb4706A3ACFE3d9c889Ea83E2bd6582,19,1000
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,19,1069
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,19,1337
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,19,1100
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,19,1420
0x0eAe1cF7557115423723ab8C275Ed3ba00b9F14B,19,1506
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,19,1569
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,19,1650
0x94D1204641e5Ab135D0785C17dEDec1f121706bf,19,1888
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,19,1700
0x4F6092a5157003BEA7640349D6fAdCCAD915980b,19,1683
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,19,2000
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,19,2000
0x2b26dA567C2A8c220daF91be8E37A429D33AEF0B,19,2050
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,19,2150
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,19,2250
0x4F6092a5157003BEA7640349D6fAdCCAD915980b,19,2300
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,19,2500
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,19,2500
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,19,2420
0xAEeAd003AC29326A98A09fA5903a23396dd7dfc8,19,2560
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,19,2690
0xAEeAd003AC29326A98A09fA5903a23396dd7dfc8,19,2800
0x4F6092a5157003BEA7640349D6fAdCCAD915980b,19,2743.8
0xAEeAd003AC29326A98A09fA5903a23396dd7dfc8,21,200
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,21,333
0x2b26dA567C2A8c220daF91be8E37A429D33AEF0B,21,500
